energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'90'	'95'	'100'
2.713347921225383	0.1227	0.11891	0.12488	0.12099	0.12947	0.15134	0.16137	0.17451	0.2227	0.24558	0.28487	0.33522	0.31169	0.35055
2.707423580786026	0.12037	0.11582	0.12368	0.11901	0.12973	0.15219	0.16349	0.17572	0.22566	0.24881	0.28896	0.33983	0.31625	0.35523
2.701525054466231	0.11807	0.11483	0.12199	0.11777	0.12809	0.1517	0.16316	0.17763	0.22795	0.2514	0.29223	0.34587	0.32064	0.36032
2.695652173913043	0.11521	0.11238	0.12009	0.11725	0.12646	0.15105	0.16422	0.1777	0.22965	0.25345	0.29472	0.34745	0.32476	0.36598
2.689804772234273	0.11509	0.1121	0.11974	0.11677	0.12715	0.15136	0.16498	0.18082	0.23228	0.25721	0.29892	0.35271	0.33014	0.36981
2.683982683982684	0.11197	0.10991	0.11826	0.11433	0.12549	0.15165	0.16538	0.18193	0.23362	0.25954	0.30226	0.35842	0.33354	0.37628
2.678185745140389	0.11195	0.10967	0.11676	0.11493	0.12652	0.15247	0.16719	0.18351	0.23772	0.26212	0.30534	0.36307	0.33843	0.37977
2.672413793103448	0.10923	0.10842	0.11559	0.11372	0.12536	0.15344	0.16828	0.18578	0.2399	0.26596	0.3103	0.36808	0.34299	0.38599
2.666666666666667	0.10808	0.10766	0.1152	0.11333	0.12514	0.15314	0.1691	0.18625	0.24201	0.26843	0.31446	0.37305	0.34991	0.39002
2.660944206008584	0.1063	0.10526	0.11296	0.11142	0.12374	0.15314	0.16983	0.18802	0.24407	0.27193	0.31753	0.37726	0.35256	0.39638
2.65524625267666	0.10621	0.10628	0.11427	0.11346	0.12619	0.15485	0.17337	0.19137	0.24786	0.27584	0.32313	0.38467	0.35967	0.40186
2.649572649572649	0.10456	0.10605	0.11354	0.11326	0.1249	0.15603	0.17509	0.19263	0.25006	0.27901	0.32753	0.38949	0.36577	0.40855
2.643923240938166	0.10438	0.10551	0.11268	0.11301	0.12471	0.15728	0.176	0.19514	0.25354	0.28253	0.33194	0.39437	0.36964	0.4138
2.638297872340425	0.10328	0.10378	0.11207	0.11248	0.1262	0.15745	0.17745	0.19759	0.25627	0.28559	0.33597	0.39968	0.37464	0.4181
2.632696390658174	0.10124	0.10298	0.11092	0.1119	0.12536	0.15833	0.17835	0.19837	0.25879	0.28936	0.3406	0.40409	0.37845	0.42451
2.627118644067797	0.10117	0.10236	0.1104	0.11196	0.1266	0.15937	0.18113	0.20111	0.26203	0.29302	0.34405	0.4097	0.38539	0.43064
2.621564482029598	0.1	0.10078	0.10922	0.11075	0.12411	0.16054	0.18156	0.20169	0.26543	0.29624	0.3482	0.41583	0.38956	0.43637
2.616033755274262	0.09951	0.10201	0.10953	0.11143	0.12587	0.16049	0.18363	0.20417	0.26833	0.29894	0.35153	0.41992	0.39488	0.44387
2.610526315789474	0.09807	0.10046	0.10924	0.11255	0.12624	0.16255	0.18517	0.20711	0.27167	0.30293	0.35587	0.42581	0.39915	0.44828
2.605042016806723	0.09863	0.10029	0.10905	0.11275	0.12684	0.16357	0.18744	0.20854	0.27367	0.30648	0.3611	0.42953	0.40365	0.4533
2.59958071278826	0.09846000000000001	0.09995999999999999	0.10934	0.11307	0.12671	0.16463	0.18903	0.21061	0.27636	0.3107	0.36666	0.43637	0.40965	0.45977
2.594142259414226	0.09765	0.10047	0.11059	0.11303	0.12774	0.16559	0.19122	0.21389	0.27927	0.31492	0.36921	0.44258	0.41544	0.46438
2.588726513569938	0.09716	0.10041	0.10949	0.11261	0.12909	0.16693	0.19178	0.21453	0.28273	0.31686	0.37328	0.44726	0.41898	0.4712
2.583333333333333	0.09722	0.10153	0.11027	0.11516	0.12955	0.16888	0.19536	0.21888	0.28589	0.32217	0.37951	0.45295	0.42606	0.47576
2.577962577962578	0.09773999999999999	0.10111	0.10963	0.11472	0.12977	0.16947	0.19679	0.22098	0.28861	0.32447	0.38356	0.45743	0.43024	0.48044
